"","Var1","Var2","Var3","Freq"
"560","-37.5","-47.5","1990",26
"561","-32.5","-47.5","1990",382
"562","-27.5","-47.5","1990",95
"563","-22.5","-47.5","1990",0
"564","-17.5","-47.5","1990",0
"565","-12.5","-47.5","1990",0
"566","-7.5","-47.5","1990",0
"567","-2.5","-47.5","1990",0
"568","2.5","-47.5","1990",0
"569","7.5","-47.5","1990",0
"570","12.5","-47.5","1990",0
"571","-57.5","-42.5","1990",0
"572","-52.5","-42.5","1990",0
"573","-47.5","-42.5","1990",6
"574","-42.5","-42.5","1990",50
"575","-37.5","-42.5","1990",33
"576","-32.5","-42.5","1990",19
"577","-27.5","-42.5","1990",6
"578","-22.5","-42.5","1990",2
"579","-17.5","-42.5","1990",0
"580","-12.5","-42.5","1990",0
"581","-7.5","-42.5","1990",0
"582","-2.5","-42.5","1990",1
"583","2.5","-42.5","1990",11
"584","7.5","-42.5","1990",7
"585","12.5","-42.5","1990",0
"586","-57.5","-37.5","1990",0
"587","-52.5","-37.5","1990",1
"588","-47.5","-37.5","1990",6
"589","-42.5","-37.5","1990",2
"590","-37.5","-37.5","1990",3
"591","-32.5","-37.5","1990",155
"592","-27.5","-37.5","1990",2
"593","-22.5","-37.5","1990",55
"594","-17.5","-37.5","1990",43
"595","-12.5","-37.5","1990",144
"596","-7.5","-37.5","1990",1
"597","-2.5","-37.5","1990",578
"598","2.5","-37.5","1990",12
"599","7.5","-37.5","1990",0
"600","12.5","-37.5","1990",0
"601","-57.5","-32.5","1990",0
"602","-52.5","-32.5","1990",25
"603","-47.5","-32.5","1990",36
"604","-42.5","-32.5","1990",0
"605","-37.5","-32.5","1990",11
"606","-32.5","-32.5","1990",2
"607","-27.5","-32.5","1990",27
"608","-22.5","-32.5","1990",36
"609","-17.5","-32.5","1990",15
"610","-12.5","-32.5","1990",365
"611","-7.5","-32.5","1990",179
"612","-2.5","-32.5","1990",655
"613","2.5","-32.5","1990",15
"614","7.5","-32.5","1990",0
"615","12.5","-32.5","1990",0
"616","-57.5","-27.5","1990",0
"617","-52.5","-27.5","1990",0
"618","-47.5","-27.5","1990",0
"619","-42.5","-27.5","1990",0
"620","-37.5","-27.5","1990",0
"621","-32.5","-27.5","1990",0
"622","-27.5","-27.5","1990",0
"623","-22.5","-27.5","1990",0
"624","-17.5","-27.5","1990",0
"625","-12.5","-27.5","1990",3
"626","-7.5","-27.5","1990",71
